p,t1,t2,t3,t4,t5
1,55.745686,55.477865,55.455336,55.435806,55.438474
2,28.962481,28.961806,28.924157,28.940253,28.951665
3,19.646864,19.657739,19.646328,19.650671,19.652422
4,14.709696,14.709679,14.720066,14.712638,14.710769
5,11.792884,11.808079,11.779727,11.790392,11.770285
6,9.849897,9.845745,9.841564,9.847433,9.846849
7,8.456150,8.454921,8.477590,8.454054,8.466634
8,7.489086,7.490937,7.475267,7.530215,7.483452
