p,t1,t2,t3,t4,t5
1,18.785140,18.826481,19.276378,18.752576,18.791813
2,10.115656,10.085049,10.083322,10.244022,10.291727
3,6.879624,6.940256,6.855515,7.008760,7.173227
4,5.155706,5.468888,5.305238,5.403516,5.113703
5,4.244969,4.486423,4.444340,4.491702,4.411896
6,3.742385,3.496373,3.535541,3.531356,3.687688
7,3.090980,3.113596,3.106121,3.090143,3.265757
8,2.919359,2.960908,2.818111,2.809207,2.792757
