p,t1,t2,t3,t4,t5
1,78.725536,78.728113,78.727861,78.734283,78.533347
2,39.573040,39.599633,39.599163,39.602491,39.591232
3,26.398711,26.389633,26.377649,26.384331,26.390546
4,19.830436,19.827394,19.848957,19.830246,19.833300
5,15.897036,15.985914,15.891146,15.883572,15.904637
6,13.255471,13.260793,13.293366,13.260387,13.260840
7,11.432898,11.428226,11.381835,11.390248,11.396019
8,10.007913,9.998918,10.017586,9.984847,10.000195
