p,t1,t2,t3,t4,t5
1,1.279830,1.265789,1.268744,1.267866,1.266371
2,1.303597,1.300849,1.301164,1.300625,1.301500
3,1.339135,1.339413,1.339843,1.339300,1.339207
4,1.342581,1.349640,1.342652,1.345013,1.359342
5,1.358064,1.349602,1.349093,1.359769,1.360600
6,1.357599,1.370164,1.375501,1.373936,1.367007
7,1.403843,1.387230,1.393506,1.392475,1.375430
8,1.408976,1.391365,1.398746,1.431817,1.426025
