p,t1,t2,t3,t4,t5
1,28.140951,28.111733,28.153831,28.135579,28.114040
2,14.790471,14.780214,14.788201,14.791135,14.786402
3,10.041230,10.042865,10.046214,10.034373,10.035679
4,7.498834,7.505986,7.506040,7.509702,7.485237
5,6.040714,6.040158,6.029068,6.035679,6.064948
6,5.064529,5.049984,5.050006,5.063992,5.057703
7,4.371365,4.364320,4.382671,4.364668,4.392821
8,3.885820,3.898421,3.891224,3.901015,3.932101
