p,t1,t2,t3,t4,t5
1,0.879079,0.848712,0.851103,0.863615,0.850540
2,0.886664,0.879083,0.888989,0.877757,0.882934
3,0.904210,0.904536,0.908547,0.903623,0.909761
4,0.914601,0.916384,0.911572,0.920409,0.910803
5,0.940309,0.942976,0.930575,0.943755,0.939287
6,0.988872,0.987967,0.982843,0.962329,0.958794
7,0.984346,1.056414,0.981716,1.059075,1.052846
8,1.143042,1.017356,1.133516,1.129354,1.129394
