p,t1,t2,t3,t4,t5
1,37.066295,37.128563,37.016688,37.795601,37.153439
2,19.959649,19.872557,20.104399,20.275431,20.169892
3,13.900911,13.567004,13.384043,16.152980,13.912628
4,10.535023,10.155457,10.435936,9.973712,10.356911
5,8.357912,8.251028,8.281862,8.037923,8.014660
6,6.988774,6.974773,6.895985,7.073174,6.984915
7,6.119891,5.932003,6.009079,6.181072,6.036908
8,5.500246,5.531491,5.275725,5.250668,5.353443
