p,t1,t2,t3,t4,t5
1,3.587965,3.587458,3.586623,3.586606,3.572516
2,3.587780,3.592957,3.591839,3.592670,3.595852
3,3.588433,3.586115,3.586421,3.585052,3.586937
4,3.587126,3.587237,3.586802,3.590558,3.591493
5,3.586278,3.587133,3.590114,3.586202,3.592844
6,3.594656,3.598527,3.602582,3.598144,3.593034
7,3.633177,3.599006,3.622271,3.600576,3.600039
8,3.620849,3.615128,3.608239,3.618744,3.611563
