p,t1,t2,t3,t4,t5
1,157.047267,156.554795,157.031606,157.009983,156.575370
2,78.589285,78.596974,78.577511,78.568232,78.551372
3,52.390386,52.391895,52.382049,52.402134,52.409902
4,39.314700,39.336556,39.322858,39.308806,39.354384
5,31.485932,31.493686,31.476257,31.485601,31.509383
6,26.248948,26.267437,26.279125,26.265444,26.301538
7,22.562821,22.561793,22.571617,22.563204,22.728407
8,19.782637,19.744191,19.789829,19.759847,19.758458
