p,t1,t2,t3,t4,t5
1,16.185988,16.172849,16.190003,16.171505,16.168279
2,8.352270,8.355767,8.371955,8.352345,8.352415
3,5.734510,5.732027,5.733486,5.732534,5.734808
4,4.316177,4.317175,4.317652,4.317641,4.317552
5,3.460144,3.458429,3.472916,3.458656,3.454020
6,2.885770,2.884662,2.886320,2.887430,2.889266
7,2.479385,2.481525,2.482191,2.480703,2.480821
8,2.194342,2.190134,2.181852,2.190591,2.195734
