p,t1,t2,t3,t4,t5
1,0.842867,0.831326,0.841718,0.832174,0.846087
2,0.863074,0.864267,0.857104,0.864114,0.860887
3,0.895125,0.888990,0.898482,0.890290,0.892376
4,0.901227,0.904561,0.897223,0.897811,0.897595
5,0.907375,0.902731,0.906695,0.908276,0.912717
6,0.913083,0.917657,0.913454,0.921711,0.915767
7,0.944488,0.932727,0.938071,0.931846,0.940709
8,0.950573,0.951914,0.947265,0.953228,0.963566
