p,t1,t2,t3,t4,t5
1,36.678303,36.335269,36.270743,36.248254,36.274746
2,18.801153,18.787676,18.777413,18.899305,18.759520
3,12.954283,13.209481,13.002794,12.968802,12.986926
4,9.785171,9.840342,9.769378,9.830971,9.779553
5,7.891589,7.925872,7.916032,7.893067,7.933453
6,6.609835,6.672326,6.654398,6.653837,6.650204
7,5.805733,5.802772,5.815021,5.840323,5.808914
8,5.155899,5.114305,5.140765,5.129475,5.115026
