p,t1,t2,t3,t4,t5
1,148.854727,148.857110,151.587462,149.122811,149.172375
2,74.568141,74.568787,74.573749,74.466190,74.463303
3,49.738240,49.721412,49.727741,49.689326,49.716518
4,37.313129,37.317546,37.320755,37.281404,37.334814
5,30.379784,29.857553,29.863448,29.847996,29.880415
6,24.899443,24.898029,24.896714,24.895365,24.909767
7,21.403773,21.356967,21.363659,21.432308,21.371101
8,18.984745,18.760868,18.718043,19.114144,18.714952
