p,t1,t2,t3,t4,t5
1,3.406537,3.411309,3.410945,3.410983,3.411198
2,3.400450,3.402887,3.402516,3.477999,3.403322
3,3.403471,3.399801,3.400611,3.403032,3.511388
4,3.405844,3.399346,3.451654,3.399541,3.401491
5,3.402643,3.400914,3.473808,3.399912,3.398742
6,3.412657,3.455511,3.396883,3.398191,3.592846
7,3.426519,3.472098,3.400816,3.403679,3.399974
8,3.399074,3.471691,3.404587,3.399551,3.400154
