p,t1,t2,t3,t4,t5
1,0.729288,0.731234,0.729345,0.730804,0.739061
2,0.747493,0.746443,0.747908,0.746615,0.746657
3,0.766718,0.766251,0.766400,0.766110,0.766495
4,0.767569,0.768222,0.767852,0.767469,0.768330
5,0.767607,0.767760,0.766653,0.767212,0.767248
6,0.770353,0.770679,0.770973,0.770478,0.771547
7,0.779215,0.777416,0.780135,0.780837,0.781048
8,0.781149,0.783286,0.782426,0.782783,0.787756
