p,t1,t2,t3,t4,t5
1,18.526296,18.333895,18.474568,18.750494,18.500899
2,9.559667,9.593516,9.662625,9.543989,9.551431
3,6.613173,6.612185,6.698202,6.599111,6.599184
4,5.032070,4.975191,5.053234,5.024640,4.989508
5,4.039532,4.036842,4.034461,4.025437,4.021560
6,3.395175,3.414553,3.385543,3.390044,3.408168
7,2.971326,2.966322,2.980997,2.984021,2.977786
8,2.655486,2.641020,2.650046,2.638000,2.639885
