p,t1,t2,t3,t4,t5
1,75.004661,74.891110,75.008117,75.039352,75.019560
2,37.552384,38.126300,37.513388,37.508575,37.564677
3,26.526804,25.042061,25.057585,25.066875,25.066754
4,19.920503,18.816358,19.120041,18.825180,18.829402
5,15.071298,15.071381,15.080038,15.076310,15.076748
6,12.571384,12.578819,12.585031,12.566166,12.774969
7,10.808989,10.796342,10.803050,11.061049,10.807079
8,9.766923,9.455851,9.615834,9.453058,10.014131
