p,t1,t2,t3,t4,t5
1,31.698238,31.687259,31.667522,31.685354,31.671464
2,16.344231,16.325738,16.324537,16.321320,16.327334
3,11.219947,11.197476,11.200975,11.198735,11.206878
4,8.424273,8.420131,8.422182,8.419636,8.422350
5,6.748734,6.749770,6.745453,6.746595,6.742063
6,5.623375,5.622430,5.625584,5.626813,5.626554
7,4.826479,4.829456,4.830960,4.829671,4.841757
8,4.259343,4.280494,4.282997,4.280087,4.328158
